Timestamp,Channel,Raw,SetupRaw,Diff,Deriv,IsPressed
1783510681.521608,20,2518,2485.23,32.77,-2.00,0
1783510681.536470,20,2525,2485.23,39.77,7.00,0
1783510681.552469,20,2531,2485.23,45.77,6.00,0
1783510681.568519,20,2530,2485.23,44.77,-1.00,0
1783510681.584627,20,2537,2485.23,51.77,7.00,0
1783510681.606217,20,2537,2485.23,51.77,0.00,0
1783510681.616677,20,2542,2485.23,56.77,5.00,0
1783510681.632705,20,2544,2485.23,58.77,2.00,0
1783510681.648197,20,2553,2485.23,67.77,9.00,0
1783510681.664454,20,2594,2485.23,108.77,41.00,0
1783510681.682014,20,2815,2485.23,329.77,221.00,0
1783510681.696411,20,2958,2485.23,472.77,143.00,0
1783510681.713945,20,2936,2485.23,450.77,-22.00,0
1783510681.728626,20,2801,2485.23,315.77,-135.00,0
1783510681.745215,20,2508,2485.23,22.77,-293.00,0
1783510681.768982,20,2493,2485.23,7.77,-15.00,0
1783510681.779957,20,2487,2485.23,1.77,-6.00,0
1783510681.792406,20,2487,2485.23,1.77,0.00,0
1783510681.808392,20,2486,2485.23,0.77,-1.00,0
1783510681.825165,20,2486,2485.23,0.77,0.00,0
1783510681.842660,20,2490,2485.23,4.77,4.00,0
1783510681.857257,20,2489,2485.23,3.77,-1.00,0
1783510681.873089,20,2484,2485.23,-1.23,-5.00,0
1783510681.888479,20,2486,2485.23,0.77,2.00,0
1783510681.907306,20,2484,2485.23,-1.23,-2.00,0
1783510681.921030,20,2488,2485.23,2.77,4.00,0
1783510681.937187,20,2483,2485.23,-2.23,-5.00,0
1783510681.953102,20,2487,2485.23,1.77,4.00,0
1783510681.968197,20,2489,2485.23,3.77,2.00,0
1783510681.985620,20,2486,2485.23,0.77,-3.00,0
1783510682.000286,20,2486,2485.23,0.77,0.00,0
1783510682.016764,20,2487,2485.23,1.77,1.00,0
1783510682.032674,20,2490,2485.23,4.77,3.00,0
1783510682.048818,20,2486,2485.23,0.77,-4.00,0
1783510682.066563,20,2488,2485.23,2.77,2.00,0
1783510682.080933,20,2486,2485.23,0.77,-2.00,0
1783510682.096923,20,2486,2485.23,0.77,0.00,0
1783510682.112347,20,2487,2485.23,1.77,1.00,0
1783510682.129180,20,2487,2485.23,1.77,0.00,0
1783510682.144567,20,2486,2485.23,0.77,-1.00,0
1783510682.160665,20,2484,2485.23,-1.23,-2.00,0
1783510682.176254,20,2486,2485.23,0.77,2.00,0
1783510682.192844,20,2485,2485.23,-0.23,-1.00,0
1783510682.208400,20,2483,2485.23,-2.23,-2.00,0
1783510682.224451,20,2489,2485.23,3.77,6.00,0
1783510682.240225,20,2487,2485.23,1.77,-2.00,0
1783510682.256453,20,2487,2485.23,1.77,0.00,0
1783510682.273213,20,2484,2485.23,-1.23,-3.00,0
1783510682.288898,20,2489,2485.23,3.77,5.00,0
1783510682.306102,20,2487,2485.23,1.77,-2.00,0
1783510682.320630,20,2489,2485.23,3.77,2.00,0
1783510682.337466,20,2485,2485.23,-0.23,-4.00,0
1783510682.353169,20,2485,2485.23,-0.23,0.00,0
1783510682.369934,20,2487,2485.23,1.77,2.00,0
1783510682.388111,20,2490,2485.23,4.77,3.00,0
1783510682.401067,20,2482,2485.23,-3.23,-8.00,0
1783510682.417058,20,2487,2485.23,1.77,5.00,0
1783510682.432613,20,2486,2485.23,0.77,-1.00,0
